,AAPL,GOOG,MSFT
2025-01-21 17:13:00+00:00,220.58009338378906,200.55999755859375,
2025-01-21 17:14:00+00:00,220.63999938964844,200.61000061035156,
2025-01-21 17:15:00+00:00,220.42880249023438,200.5500030517578,
2025-01-21 17:16:00+00:00,220.16000366210938,200.5102996826172,
2025-01-21 17:17:00+00:00,220.19000244140625,200.61000061035156,
2025-01-21 17:18:00+00:00,219.9199981689453,200.52999877929688,
2025-01-21 17:19:00+00:00,220.1300048828125,200.5319061279297,
2025-01-21 17:20:00+00:00,220.0019989013672,200.5500030517578,
2025-01-21 17:21:00+00:00,219.9600067138672,200.53860473632812,
2025-01-21 17:22:00+00:00,219.85110473632812,200.69000244140625,
2025-01-21 17:23:00+00:00,219.94830322265625,200.73089599609375,
2025-01-21 17:24:00+00:00,219.9774932861328,200.78500366210938,
2025-01-21 17:25:00+00:00,220.0800018310547,200.80999755859375,
2025-01-21 17:26:00+00:00,220.11500549316406,200.97000122070312,
2025-01-21 17:27:00+00:00,220.2982940673828,201.0,
2025-01-21 17:28:00+00:00,220.3699951171875,201.07000732421875,
2025-01-21 17:29:00+00:00,220.36000061035156,201.08999633789062,
2025-01-21 17:30:00+00:00,220.5198974609375,201.1613006591797,
2025-01-21 17:31:00+00:00,220.52999877929688,201.22500610351562,
2025-01-21 17:32:00+00:00,220.4967041015625,201.33999633789062,
2025-01-21 17:33:00+00:00,220.48890686035156,201.41749572753906,
2025-01-21 17:34:00+00:00,220.62869262695312,201.4600067138672,
2025-01-21 17:35:00+00:00,220.53500366210938,201.24000549316406,
2025-01-21 17:36:00+00:00,220.63999938964844,201.22000122070312,
2025-01-21 17:37:00+00:00,220.61000061035156,201.24000549316406,
2025-01-21 17:38:00+00:00,220.64999389648438,201.2239990234375,
2025-01-21 17:39:00+00:00,220.6699981689453,201.22000122070312,
2025-01-21 17:40:00+00:00,220.77749633789062,201.25,
2025-01-21 17:41:00+00:00,220.75,201.25,
2025-01-21 17:42:00+00:00,220.51499938964844,201.30999755859375,
2025-01-21 17:43:00+00:00,220.6999053955078,201.3000030517578,
2025-01-21 17:44:00+00:00,220.77999877929688,201.33999633789062,
2025-01-21 17:45:00+00:00,220.8800048828125,201.36000061035156,
2025-01-21 17:46:00+00:00,220.9949951171875,201.36000061035156,
2025-01-21 17:47:00+00:00,221.02000427246094,201.3300018310547,
2025-01-21 17:48:00+00:00,220.99000549316406,201.25999450683594,
2025-01-21 17:49:00+00:00,220.7957000732422,201.25,
2025-01-21 17:50:00+00:00,220.75,201.3950958251953,
2025-01-21 17:51:00+00:00,220.8000030517578,201.42999267578125,
2025-01-21 17:52:00+00:00,220.60000610351562,201.35000610351562,
2025-01-21 17:53:00+00:00,220.5489959716797,201.22999572753906,
2025-01-21 17:54:00+00:00,220.60000610351562,201.23500061035156,
2025-01-21 17:55:00+00:00,220.5760040283203,201.21499633789062,
2025-01-21 17:56:00+00:00,220.6300048828125,201.25999450683594,
2025-01-21 17:57:00+00:00,220.4199981689453,201.21929931640625,
2025-01-21 17:58:00+00:00,220.25,201.2899932861328,
2025-01-21 17:59:00+00:00,220.23500061035156,201.25909423828125,
2025-01-21 18:00:00+00:00,220.14169311523438,201.32000732421875,
2025-01-21 18:01:00+00:00,220.12989807128906,201.36000061035156,
2025-01-21 18:02:00+00:00,220.14830017089844,201.27999877929688,
2025-01-21 18:03:00+00:00,220.03500366210938,201.25,
2025-01-21 18:04:00+00:00,220.1300048828125,201.33999633789062,
2025-01-21 18:05:00+00:00,220.3300018310547,201.33999633789062,
2025-01-21 18:06:00+00:00,220.19000244140625,201.36000061035156,
2025-01-21 18:07:00+00:00,220.25999450683594,201.3625946044922,
2025-01-21 18:08:00+00:00,220.24009704589844,201.375,
2025-01-21 18:09:00+00:00,220.24000549316406,201.24000549316406,
2025-01-21 18:10:00+00:00,220.2899932861328,201.2899932861328,
2025-01-21 18:11:00+00:00,220.18800354003906,201.11000061035156,
2025-01-21 18:12:00+00:00,220.22950744628906,201.17889404296875,
2025-01-21 18:13:00+00:00,220.24000549316406,201.26739501953125,
2025-01-21 18:14:00+00:00,220.22999572753906,201.25070190429688,
2025-01-21 18:15:00+00:00,220.2949981689453,201.2801055908203,
2025-01-21 18:16:00+00:00,220.35400390625,201.343994140625,
2025-01-21 18:17:00+00:00,220.2666015625,201.28680419921875,
2025-01-21 18:18:00+00:00,220.1699981689453,201.22999572753906,
2025-01-21 18:19:00+00:00,220.07000732421875,201.0500030517578,
2025-01-21 18:20:00+00:00,220.11000061035156,201.10000610351562,
2025-01-21 18:21:00+00:00,220.11000061035156,201.05999755859375,
2025-01-21 18:22:00+00:00,220.1302032470703,201.11000061035156,
2025-01-21 18:23:00+00:00,220.2310028076172,201.02999877929688,
2025-01-21 18:24:00+00:00,220.13999938964844,201.0399932861328,
2025-01-21 18:25:00+00:00,220.2899932861328,201.05999755859375,
2025-01-21 18:26:00+00:00,220.49569702148438,201.0850067138672,
2025-01-21 18:27:00+00:00,220.375,201.1199951171875,
2025-01-21 18:28:00+00:00,220.40499877929688,201.00999450683594,
2025-01-21 18:29:00+00:00,220.40499877929688,201.08999633789062,
2025-01-21 18:30:00+00:00,220.44500732421875,201.05999755859375,
2025-01-21 18:31:00+00:00,220.4600067138672,201.1300048828125,
2025-01-21 18:32:00+00:00,220.4499053955078,201.1300048828125,
2025-01-21 18:33:00+00:00,220.5850067138672,201.08999633789062,
2025-01-21 18:34:00+00:00,220.67999267578125,200.99960327148438,
2025-01-21 18:35:00+00:00,220.84469604492188,201.093994140625,
2025-01-21 18:36:00+00:00,220.7899932861328,201.1199951171875,
2025-01-21 18:37:00+00:00,220.96499633789062,200.97999572753906,
2025-01-21 18:38:00+00:00,221.06500244140625,201.05999755859375,
2025-01-21 18:39:00+00:00,221.19000244140625,201.0200958251953,
2025-01-21 18:40:00+00:00,221.23199462890625,201.07000732421875,
2025-01-21 18:41:00+00:00,221.16000366210938,201.00999450683594,
2025-01-21 18:42:00+00:00,221.0500030517578,201.00999450683594,
2025-01-21 18:43:00+00:00,221.0800018310547,201.1300048828125,
2025-01-21 18:44:00+00:00,221.22000122070312,201.13999938964844,
2025-01-21 18:45:00+00:00,221.05999755859375,201.11000061035156,
2025-01-21 18:46:00+00:00,220.99400329589844,200.88009643554688,
2025-01-21 18:47:00+00:00,221.0399932861328,200.9600067138672,
2025-01-21 18:48:00+00:00,220.86500549316406,200.99000549316406,
2025-01-21 18:49:00+00:00,220.80999755859375,201.02999877929688,
2025-01-21 18:50:00+00:00,220.90499877929688,201.0399932861328,
2025-01-21 18:51:00+00:00,220.80999755859375,201.0800018310547,
2025-01-21 18:52:00+00:00,220.78160095214844,201.10000610351562,
2025-01-21 18:53:00+00:00,220.6999969482422,201.09010314941406,
2025-01-21 18:54:00+00:00,220.7899932861328,201.18829345703125,
2025-01-21 18:55:00+00:00,221.0601043701172,201.22000122070312,
2025-01-21 18:56:00+00:00,221.25,201.1999969482422,
2025-01-21 18:57:00+00:00,221.22000122070312,201.22000122070312,
2025-01-21 18:58:00+00:00,221.14999389648438,201.2050018310547,
2025-01-21 18:59:00+00:00,221.2100067138672,201.1405029296875,
2025-01-21 19:00:00+00:00,221.11000061035156,201.12010192871094,
2025-01-21 19:01:00+00:00,221.1595001220703,201.1699981689453,
2025-01-21 19:02:00+00:00,221.05999755859375,201.1280059814453,
2025-01-21 19:03:00+00:00,221.11000061035156,201.08999633789062,
2025-01-21 19:04:00+00:00,221.09500122070312,201.1199951171875,
2025-01-21 19:05:00+00:00,221.00999450683594,201.17999267578125,
2025-01-21 19:06:00+00:00,221.02999877929688,201.25,
2025-01-21 19:07:00+00:00,221.02999877929688,201.13999938964844,
2025-01-21 19:08:00+00:00,221.1300048828125,201.0500030517578,
2025-01-21 19:09:00+00:00,221.08999633789062,201.10000610351562,
2025-01-21 19:10:00+00:00,221.03500366210938,201.1199951171875,
2025-01-21 19:11:00+00:00,221.0850067138672,201.22000122070312,
2025-01-21 19:12:00+00:00,221.07000732421875,201.1699981689453,
2025-01-21 19:13:00+00:00,221.2003936767578,201.0749969482422,
2025-01-21 19:14:00+00:00,221.30499267578125,201.05999755859375,
2025-01-21 19:15:00+00:00,221.09730529785156,200.91749572753906,
2025-01-21 19:16:00+00:00,220.9949951171875,200.84500122070312,
2025-01-21 19:17:00+00:00,221.14999389648438,200.92999267578125,
